日期,参数值,消息数量,占比
2023-05-25,LaserPecker-II11481F,2,0.05%
2023-05-25,LaserPecker-II114B45,2,0.05%
2023-05-25,LaserPecker-II114BC4,2,0.05%
2023-05-25,LaserPecker-III,2,0.05%
2023-05-25,LaserPecker-III114440,2,0.05%
2023-05-25,LaserPecker-III110F8E,2,0.05%
2023-05-25,LaserPecker-III1110F8,2,0.05%
2023-05-25,LaserPecker-III111E31,2,0.05%
2023-05-25,LaserPecker-III1121F7,2,0.05%
2023-05-25,LaserPecker-III11223D,2,0.05%
2023-05-25,LaserPecker-IV00196A,2,0.05%
2023-05-25,LaserPecker-IV2377CA,2,0.05%
2023-05-25,LP4-D6B479,1,0.03%
2023-05-25,LP4-D6B40E,1,0.03%
2023-05-25,LP4-D6B417,1,0.03%
2023-05-25,LP4-D6B434,1,0.03%
2023-05-25,LP4-D6B505,1,0.03%
2023-05-25,LP4-D6B5A2,1,0.03%
2023-05-25,LP4-D6B617,1,0.03%
2023-05-25,LP4-D6B6EC,1,0.03%
2023-05-25,LP4-D6B773,1,0.03%
2023-05-25,LP4-D6B9D3,1,0.03%
2023-05-25,LP4-D6BA00,1,0.03%
2023-05-25,LP4-D6BAEE,1,0.03%
2023-05-25,LP4-D6BCC9,1,0.03%
2023-05-25,LP4-D6BE77,1,0.03%
2023-05-25,LP4-D6BE82,1,0.03%
2023-05-25,LP4-D6BF7C,1,0.03%
2023-05-25,LP4-D6BF12,1,0.03%
2023-05-25,LX1-D6ADDA,1,0.03%
2023-05-25,LX1-D6ADE3,1,0.03%
2023-05-25,LX1-D6ADF6,1,0.03%
2023-05-25,LX1-D6AE9A,1,0.03%
2023-05-25,LaserPecker-II1030DA,1,0.03%
2023-05-25,LaserPecker-II104935,1,0.03%
2023-05-25,LaserPecker-II107AF9,1,0.03%
2023-05-25,LaserPecker-II108E1E,1,0.03%
2023-05-25,LaserPecker-II10A5DE,1,0.03%
2023-05-25,LaserPecker-II10A98B,1,0.03%
2023-05-25,LaserPecker-II10A0DC,1,0.03%
2023-05-25,LaserPecker-II10A10D,1,0.03%
2023-05-25,LaserPecker-II10A1D9,1,0.03%
2023-05-25,LaserPecker-II10A378,1,0.03%
2023-05-25,LaserPecker-II10AF5A,1,0.03%
2023-05-25,LaserPecker-II10C757,1,0.03%
2023-05-25,LaserPecker-II10C8C1,1,0.03%
2023-05-25,LaserPecker-II10CED9,1,0.03%
2023-05-25,LaserPecker-II10E355,1,0.03%
2023-05-25,LaserPecker-II10E3E1,1,0.03%
2023-05-25,LaserPecker-II1146BC,1,0.03%
2023-05-25,LaserPecker-II114C56,1,0.03%
2023-05-25,LaserPecker-III104C4A,1,0.03%
2023-05-25,LaserPecker-III10EBFA,1,0.03%
2023-05-25,LaserPecker-III10EC0A,1,0.03%
2023-05-25,LaserPecker-III1112BD,1,0.03%
2023-05-25,LaserPecker-III1112FD,1,0.03%
2023-05-25,LaserPecker-III1137E9,1,0.03%
2023-05-25,LaserPecker-IV2377F3,1,0.03%
2023-05-25,LaserPecker-IV237815,1,0.03%
2023-05-25,LaserPecker-IV237829,1,0.03%
2023-05-26,LX1-D6AE9D,22,0.6%
2023-05-26,LX1-D539B5,19,0.52%
2023-05-26,LaserPecker-IV237802,19,0.52%
2023-05-26,LP4-D6B4AF,18,0.49%
2023-05-26,LP4-D6B9B9,11,0.3%
2023-05-26,LaserPecker-IV2377B5,11,0.3%
2023-05-26,LP4-D6B503,10,0.27%
2023-05-26,LaserPecker-III11152B,10,0.27%
2023-05-26,LP4-D6C02D,9,0.24%
2023-05-26,LX1-D539AB,9,0.24%
2023-05-26,LP4-D6BA03,8,0.22%
2023-05-26,LaserPecker-II10B0D5,8,0.22%
2023-05-26,LaserPecker-III1115C2,8,0.22%
2023-05-26,LP4-D6BA12,7,0.19%
2023-05-26,LP4-D6BA31,7,0.19%
2023-05-26,LX1-D6ADC4,7,0.19%
2023-05-26,LX1-D6ADE8,7,0.19%
2023-05-26,LX1-D6AE09,7,0.19%
2023-05-26,LaserPecker-IV001962,7,0.19%
2023-05-26,LX1-D539B0,6,0.16%
2023-05-26,LaserPecker-II10A270,6,0.16%
2023-05-26,LaserPecker-II10E8FD,6,0.16%
2023-05-26,LP4-D6B726,5,0.14%
2023-05-26,LP4-D6BA1C,5,0.14%
2023-05-26,LP4-D6BC1F,5,0.14%
2023-05-26,LX1-D6AE21,5,0.14%
2023-05-26,LaserPecker-II10A696,5,0.14%
2023-05-26,LaserPecker-II1147E2,5,0.14%
2023-05-26,LP4-D6B3C8,4,0.11%
2023-05-26,LP4-D6B7F7,4,0.11%
2023-05-26,LP4-D6BE8D,4,0.11%
2023-05-26,LP4-D6C024,4,0.11%
2023-05-26,LX1-D6ADE3,4,0.11%
2023-05-26,LP4-D6B3CE,3,0.08%
2023-05-26,LP4-D6B6EC,3,0.08%
2023-05-26,LP4-D6B936,3,0.08%
2023-05-26,LP4-D6BDF7,3,0.08%
2023-05-26,LX1-D6AE9A,3,0.08%
2023-05-26,LaserPecker-II101D61,3,0.08%
2023-05-26,LaserPecker-II104FBC,3,0.08%
2023-05-26,LaserPecker-II10A0DC,3,0.08%
2023-05-26,LaserPecker-II10A10D,3,0.08%
2023-05-26,LaserPecker-II10B510,3,0.08%
2023-05-26,LaserPecker-II10B0CF,3,0.08%
2023-05-26,LP4-D6B3D3,2,0.05%
2023-05-26,LP4-D6B4AD,2,0.05%
2023-05-26,LP4-D6B4E9,2,0.05%
2023-05-26,LP4-D6B627,2,0.05%
2023-05-26,LP4-D6B6DF,2,0.05%
2023-05-26,LP4-D6BAC1,2,0.05%
2023-05-26,LP4-D6BC8A,2,0.05%
2023-05-26,LP4-D6BDB8,2,0.05%
2023-05-26,LX1-D539E4,2,0.05%
2023-05-26,LX1-D6ADEB,2,0.05%
2023-05-26,LX1-D6ADF5,2,0.05%
2023-05-26,LaserPecker-I10C397,2,0.05%
2023-05-26,LaserPecker-II104613,2,0.05%
2023-05-26,LaserPecker-II104EEB,2,0.05%
2023-05-26,LaserPecker-II107976,2,0.05%
2023-05-26,LaserPecker-II108DE9,2,0.05%
2023-05-26,LaserPecker-II108E1E,2,0.05%
2023-05-26,LaserPecker-II10952A,2,0.05%
2023-05-26,LaserPecker-II10B908,2,0.05%
2023-05-26,LaserPecker-II10C4CE,2,0.05%
2023-05-26,LaserPecker-II10C757,2,0.05%
2023-05-26,LaserPecker-II10CB49,2,0.05%
2023-05-26,LaserPecker-II10E4EF,2,0.05%
2023-05-26,LaserPecker-II10F366,2,0.05%
2023-05-26,LaserPecker-II1144F7,2,0.05%
2023-05-26,LaserPecker-II114516,2,0.05%
2023-05-26,LaserPecker-II11481F,2,0.05%
2023-05-26,LaserPecker-II114B45,2,0.05%
2023-05-26,LaserPecker-II114B49,2,0.05%
2023-05-26,LaserPecker-III112018,2,0.05%
2023-05-26,LaserPecker-III11223D,2,0.05%
2023-05-26,LaserPecker-IV001961,2,0.05%
2023-05-26,LaserPecker-IV2377CF,2,0.05%
2023-05-26,LP4-D6B36B,1,0.03%
2023-05-26,LP4-D6B3C9,1,0.03%
2023-05-26,LP4-D6B6CB,1,0.03%
2023-05-26,LP4-D6B710,1,0.03%
2023-05-26,LP4-D6B89D,1,0.03%
2023-05-26,LP4-D6B8DD,1,0.03%
2023-05-26,LP4-D6BB59,1,0.03%
2023-05-26,LP4-D6BBB5,1,0.03%
2023-05-26,LP4-D6BBED,1,0.03%
2023-05-26,LP4-D6BF54,1,0.03%
2023-05-26,LP4-D6BF7B,1,0.03%
2023-05-26,LP4-D6C00E,1,0.03%
2023-05-26,LP4-D6C0DC,1,0.03%
2023-05-26,LX1-D6AE4C,1,0.03%
2023-05-26,LX1-D6AE69,1,0.03%
2023-05-26,LX1-D6AE77,1,0.03%
2023-05-26,LX1-D6AE17,1,0.03%
2023-05-26,LaserPecker-I10D1D4,1,0.03%
2023-05-26,LaserPecker-II102B07,1,0.03%
2023-05-26,LaserPecker-II103ED6,1,0.03%
2023-05-26,LaserPecker-II104935,1,0.03%
2023-05-26,LaserPecker-II104A94,1,0.03%
2023-05-26,LaserPecker-II104E7C,1,0.03%
2023-05-26,LaserPecker-II107A29,1,0.03%
2023-05-26,LaserPecker-II10A8AB,1,0.03%
2023-05-26,LaserPecker-II10A1AD,1,0.03%
2023-05-26,LaserPecker-II10C48E,1,0.03%
2023-05-26,LaserPecker-II10C72C,1,0.03%
2023-05-26,LaserPecker-II10C8C1,1,0.03%
2023-05-26,LaserPecker-II10CA40,1,0.03%
2023-05-26,LaserPecker-II10E7C2,1,0.03%
2023-05-26,LaserPecker-II10E9F7,1,0.03%
2023-05-26,LaserPecker-II11459D,1,0.03%
2023-05-26,LaserPecker-II1145D2,1,0.03%
2023-05-26,LaserPecker-II1145D4,1,0.03%
2023-05-26,LaserPecker-II1146C0,1,0.03%
2023-05-26,LaserPecker-II114793,1,0.03%
2023-05-26,LaserPecker-II114801,1,0.03%
2023-05-26,LaserPecker-II114C87,1,0.03%
2023-05-26,LaserPecker-II114C8A,1,0.03%
2023-05-26,LaserPecker-III109B5A,1,0.03%
2023-05-26,LaserPecker-III10EBFA,1,0.03%
2023-05-26,LaserPecker-III10EC0A,1,0.03%
2023-05-26,LaserPecker-III110F58,1,0.03%
2023-05-26,LaserPecker-III1112BD,1,0.03%
2023-05-26,LaserPecker-III1115BD,1,0.03%
2023-05-26,LaserPecker-III111C03,1,0.03%
2023-05-26,LaserPecker-III112270,1,0.03%
2023-05-26,LaserPecker-IV23781E,1,0.03%
2023-05-26,LaserPecker-IV237832,1,0.03%
2023-05-27,LP4-D6B63E,19,0.52%
2023-05-27,LaserPecker-III11152B,13,0.35%
2023-05-27,LP4-D6BCA1,9,0.24%
2023-05-27,LaserPecker-II108E0B,9,0.24%
2023-05-27,LaserPecker-II10B0D5,9,0.24%
2023-05-27,LaserPecker-II10A007,8,0.22%
2023-05-27,LaserPecker-II101D61,7,0.19%
2023-05-27,LaserPecker-II104FBC,7,0.19%
2023-05-27,LaserPecker-III1121F7,7,0.19%
2023-05-27,LP4-D6B535,6,0.16%
2023-05-27,LP4-D6C0A5,6,0.16%
2023-05-27,LX1-D6ADE8,6,0.16%
2023-05-27,LaserPecker-II10AFFA,6,0.16%
2023-05-27,LP4-D6B3BC,5,0.14%
2023-05-27,LP4-D6BEA0,5,0.14%
2023-05-27,LaserPecker-II102B07,5,0.14%
2023-05-27,LaserPecker-II108ECE,5,0.14%
2023-05-27,LaserPecker-II10C8C1,5,0.14%
2023-05-27,LaserPecker-II10CE02,5,0.14%
2023-05-27,LaserPecker-III1115C2,5,0.14%
2023-05-27,LaserPecker-IV237829,5,0.14%
2023-05-27,LP4-D6B549,4,0.11%
2023-05-27,LP4-D6BFF9,4,0.11%
2023-05-27,LaserPecker-II10C9AC,4,0.11%
2023-05-27,LaserPecker-II10DF4E,4,0.11%
2023-05-27,LaserPecker-III1112FD,4,0.11%
2023-05-27,LP4-D6BD7D,3,0.08%
2023-05-27,LaserPecker-II105B68,3,0.08%
2023-05-27,LaserPecker-II10A5DE,3,0.08%
2023-05-27,LaserPecker-II10A0DC,3,0.08%
2023-05-27,LaserPecker-II10F366,3,0.08%
2023-05-27,LaserPecker-III10EBFA,3,0.08%
2023-05-27,LP4-D6B584,2,0.05%
2023-05-27,LP4-D6BA87,2,0.05%
2023-05-27,LP4-D6BC2B,2,0.05%
2023-05-27,LP4-D6C032,2,0.05%
2023-05-27,LaserPecker-II103ED6,2,0.05%
2023-05-27,LaserPecker-II103F6F,2,0.05%
2023-05-27,LaserPecker-II104613,2,0.05%
2023-05-27,LaserPecker-II108154,2,0.05%
2023-05-27,LaserPecker-II109EE6,2,0.05%
2023-05-27,LaserPecker-II10A696,2,0.05%
2023-05-27,LaserPecker-II10C757,2,0.05%
2023-05-27,LaserPecker-II10E7C2,2,0.05%
2023-05-27,LaserPecker-II10EEC5,2,0.05%
2023-05-27,LaserPecker-II10F18E,2,0.05%
2023-05-27,LaserPecker-III110F41,2,0.05%
2023-05-27,LaserPecker-IV2377F3,2,0.05%
2023-05-27,LP4-D6B3D3,1,0.03%
2023-05-27,LP4-D6B4D4,1,0.03%
2023-05-27,LP4-D6BA03,1,0.03%
2023-05-27,LP4-D6BB7C,1,0.03%
2023-05-27,LP4-D6BC2F,1,0.03%
2023-05-27,LP4-D6BCDB,1,0.03%
2023-05-27,LP4-D6BE82,1,0.03%
2023-05-27,LP4-D6BE91,1,0.03%
2023-05-27,LP4-D6C04F,1,0.03%
2023-05-27,LaserPecker-CI237877,1,0.03%
2023-05-27,LaserPecker-I10BAEB,1,0.03%
2023-05-27,LaserPecker-II103A19,1,0.03%
2023-05-27,LaserPecker-II1053A6,1,0.03%
2023-05-27,LaserPecker-II107B39,1,0.03%
2023-05-27,LaserPecker-II107EDB,1,0.03%
2023-05-27,LaserPecker-II10952A,1,0.03%
2023-05-27,LaserPecker-II10A8AB,1,0.03%
2023-05-27,LaserPecker-II10AB6A,1,0.03%
2023-05-27,LaserPecker-II10C4CE,1,0.03%
2023-05-27,LaserPecker-II10C9E6,1,0.03%
2023-05-27,LaserPecker-II1145DF,1,0.03%
2023-05-27,LaserPecker-II1146F1,1,0.03%
2023-05-27,LaserPecker-III109B20,1,0.03%
2023-05-27,LaserPecker-III111C03,1,0.03%
2023-05-27,LaserPecker-III112018,1,0.03%
2023-05-27,LaserPecker-III11212B,1,0.03%
2023-05-27,LaserPecker-III113B49,1,0.03%
2023-05-27,LaserPecker-IV2377A9,1,0.03%
2023-05-28,LX1-D6ADE8,8,0.22%
2023-05-28,LaserPecker-III110EBD,8,0.22%
2023-05-28,LaserPecker-II108E0B,6,0.16%
2023-05-28,LP4-D6B6E1,5,0.14%
2023-05-28,LaserPecker-II10A007,5,0.14%
2023-05-28,LaserPecker-II10CA40,5,0.14%
2023-05-28,LP4-D6BF81,4,0.11%
2023-05-28,LaserPecker-II10A52A,4,0.11%
2023-05-28,LaserPecker-II10A8AB,4,0.11%
2023-05-28,LP4-D6B663,3,0.08%
2023-05-28,LP4-D6B8C8,3,0.08%
2023-05-28,LP4-D6B8EA,3,0.08%
2023-05-28,LP4-D6BC12,3,0.08%
2023-05-28,LaserPecker-II104DF0,3,0.08%
2023-05-28,LaserPecker-II108DE9,3,0.08%
2023-05-28,LaserPecker-II10AB6A,3,0.08%
2023-05-28,LaserPecker-II10C72C,3,0.08%
2023-05-28,LaserPecker-II10E926,3,0.08%
2023-05-28,LaserPecker-II114801,3,0.08%
2023-05-28,LaserPecker-III111E31,3,0.08%
2023-05-28,LaserPecker-IV2377D5,3,0.08%
2023-05-28,LaserPecker-IV2377EF,3,0.08%
2023-05-28,LP4-D6B3C8,2,0.05%
2023-05-28,LP4-D6B549,2,0.05%
2023-05-28,LP4-D6B5E0,2,0.05%
2023-05-28,LP4-D6BCF2,2,0.05%
2023-05-28,LaserPecker-II103ED6,2,0.05%
2023-05-28,LaserPecker-II104935,2,0.05%
2023-05-28,LaserPecker-II108CA4,2,0.05%
2023-05-28,LaserPecker-II10A5DE,2,0.05%
2023-05-28,LaserPecker-II10CB49,2,0.05%
2023-05-28,LaserPecker-II10E355,2,0.05%
2023-05-28,LaserPecker-II10F18E,2,0.05%
2023-05-28,LaserPecker-III11152B,2,0.05%
2023-05-28,LaserPecker-III112530,2,0.05%
2023-05-28,LP4-D6B34B,1,0.03%
2023-05-28,LP4-D6B39B,1,0.03%
2023-05-28,LP4-D6B478,1,0.03%
2023-05-28,LP4-D6B9AC,1,0.03%
2023-05-28,LP4-D6BD2D,1,0.03%
2023-05-28,LX1-D6AE94,1,0.03%
2023-05-28,LaserPecker-I112741,1,0.03%
2023-05-28,LaserPecker-II102BD5,1,0.03%
2023-05-28,LaserPecker-II1046F5,1,0.03%
2023-05-28,LaserPecker-II1047EB,1,0.03%
2023-05-28,LaserPecker-II107A29,1,0.03%
2023-05-28,LaserPecker-II108E1E,1,0.03%
2023-05-28,LaserPecker-II10A696,1,0.03%
2023-05-28,LaserPecker-II10A033,1,0.03%
2023-05-28,LaserPecker-II10A0DC,1,0.03%
2023-05-28,LaserPecker-II10A262,1,0.03%
2023-05-28,LaserPecker-II10AFE8,1,0.03%
2023-05-28,LaserPecker-II10B908,1,0.03%
2023-05-28,LaserPecker-II10B0D5,1,0.03%
2023-05-28,LaserPecker-II10B322,1,0.03%
2023-05-28,LaserPecker-II10B38B,1,0.03%
2023-05-28,LaserPecker-II10C757,1,0.03%
2023-05-28,LaserPecker-II10C9E6,1,0.03%
2023-05-28,LaserPecker-II10CE02,1,0.03%
2023-05-28,LaserPecker-II1145D4,1,0.03%
2023-05-28,LaserPecker-II114C8A,1,0.03%
2023-05-28,LaserPecker-III108460,1,0.03%
2023-05-28,LaserPecker-III109B20,1,0.03%
2023-05-28,LaserPecker-III1115C2,1,0.03%
2023-05-28,LaserPecker-III11212B,1,0.03%
2023-05-28,LaserPecker-III1135AC,1,0.03%
2023-05-28,LaserPecker-IV2377F3,1,0.03%
